#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Bad Dudes vs. Dragon Ninja (Europe);Bad Dudes vs. Dragon Ninja (Europe);Famicom;;;;;;;;;;;;;;;;;;
Bad News Baseball (USA);Bad News Baseball (USA);Famicom;;;;;;;;;;;;;;;;;;
Bad Street Brawler (USA);Bad Street Brawler (USA);Famicom;;;;;;;;;;;;;;;;;;
Baiwan Fuweng (China) (Unl);Baiwan Fuweng (China) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Baken Hisshou Gaku - Gate In (Japan);Baken Hisshou Gaku - Gate In (Japan);Famicom;;;;;;;;;;;;;;;;;;
Bakushou! Star Monomane Shitennou (Japan);Bakushou! Star Monomane Shitennou (Japan);Famicom;;;;;;;;;;;;;;;;;;
Bakushou!! Ai no Gekijou (Japan);Bakushou!! Ai no Gekijou (Japan);Famicom;;;;;;;;;;;;;;;;;;
Bakushou!! Jinsei Gekijou (Japan);Bakushou!! Jinsei Gekijou (Japan);Famicom;;;;;;;;;;;;;;;;;;
Bakushou!! Jinsei Gekijou 2 (Japan);Bakushou!! Jinsei Gekijou 2 (Japan);Famicom;;;;;;;;;;;;;;;;;;
Bakushou!! Jinsei Gekijou 3 (Japan);Bakushou!! Jinsei Gekijou 3 (Japan);Famicom;;;;;;;;;;;;;;;;;;
Balda (Russia) (Subor Keyboard) (Unl);Balda (Russia) (Subor Keyboard) (Unl);Famicom;;;;;;;;;;;;;;;;;;
