#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Brainies, The (Europe);Brainies, The (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Bram Stoker's Dracula (Europe);Bram Stoker's Dracula (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Brandish (Japan);Brandish (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Brandish 2 - Expert (Japan);Brandish 2 - Expert (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Brandish 2 - The Planet Buster (Japan);Brandish 2 - The Planet Buster (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Brawl Brothers (USA);Brawl Brothers (USA);Super Famicom;;;;;;;;;;;;;;;;;;
Brawl Brothers - Rival Turf! 2 (Europe);Brawl Brothers - Rival Turf! 2 (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
BreakThru! (USA);BreakThru! (USA);Super Famicom;;;;;;;;;;;;;;;;;;
Breath of Fire (USA);Breath of Fire (USA);Super Famicom;;;;;;;;;;;;;;;;;;
Breath of Fire - Ryuu no Senshi (Japan) (Rev 1);Breath of Fire - Ryuu no Senshi (Japan) (Rev 1);Super Famicom;;;;;;;;;;;;;;;;;;
Breath of Fire II (Europe);Breath of Fire II (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Breath of Fire II - Shimei no Ko (Japan) (Rev 1);Breath of Fire II - Shimei no Ko (Japan) (Rev 1);Super Famicom;;;;;;;;;;;;;;;;;;
Brett Hull Hockey (Europe);Brett Hull Hockey (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Brett Hull Hockey 95 (USA);Brett Hull Hockey 95 (USA);Super Famicom;;;;;;;;;;;;;;;;;;
Bronkie the Bronchiasaurus (USA) (En,Es);Bronkie the Bronchiasaurus (USA) (En,Es);Super Famicom;;;;;;;;;;;;;;;;;;
Brunswick World Tournament of Champions (USA);Brunswick World Tournament of Champions (USA);Super Famicom;;;;;;;;;;;;;;;;;;
Brutal - Paws of Fury (Europe) (En,Fr,De);Brutal - Paws of Fury (Europe) (En,Fr,De);Super Famicom;;;;;;;;;;;;;;;;;;
Bubsy II (Europe);Bubsy II (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Bubsy in - Claws Encounters of the Furred Kind (Europe);Bubsy in - Claws Encounters of the Furred Kind (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Bucket (World) (Aftermarket) (Unl);Bucket (World) (Aftermarket) (Unl);Super Famicom;;;;;;;;;;;;;;;;;;
Bug's Life, A (USA) (Pirate);Bug's Life, A (USA) (Pirate);Super Famicom;;;;;;;;;;;;;;;;;;
Bugs Bunny - Hachamecha Daibouken (Japan);Bugs Bunny - Hachamecha Daibouken (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Bugs Bunny - Rabbit Rampage (Europe);Bugs Bunny - Rabbit Rampage (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
